name,ticker,market,theme,category,layer,subcategory,tier,business,market_focus,description,core_customer,upstream,downstream,bull_case,bear_case,confidence
新易盛,300502.SZ,A股,AI基础设施,光模块,Optical,光模块,A,800G/1.6T高速光模块,北美AI订单,AI数据中心高速连接核心供应商,北美云厂商,DSP芯片/光芯片/激光器,AI数据中心光互连,1.6T升级带动高速光模块需求,北美订单波动和价格竞争,85
中际旭创,300308.SZ,A股,AI基础设施,光模块,Optical,光模块,A,800G/1.6T高速光模块,北美云厂商资本开支,全球高速光模块核心供应商,北美云厂商,DSP芯片/光芯片/激光器,AI数据中心光互连,AI集群规模扩张提升高速模块需求,客户集中和行业竞争加剧,88
天孚通信,300394.SZ,A股,AI基础设施,光模块,Optical,光器件/光引擎,A,光器件/高速光引擎,CPO与高速光器件,高速光模块上游精密器件供应商,光模块厂商/北美云厂供应链,陶瓷套管/透镜/精密加工,光模块与CPO光引擎,高速光器件价值量提升,CPO节奏不及预期和客户认证周期,80
光迅科技,002281.SZ,A股,AI基础设施,光模块,Optical,光芯片/光模块,B,光芯片/光器件/光模块,国产光芯片与数通需求,光通信器件与模块平台型供应商,国内运营商/云厂商,光芯片/封装材料/电子元件,通信网络和数据中心,国内光通信自主可控与数通需求,国产替代节奏和海外竞争压力,76
沪电股份,002463.SZ,A股,AI基础设施,PCB,Electronic,高速PCB,A,高速PCB,AI服务器PCB,AI服务器高速PCB核心供应商之一,服务器和通信设备客户,覆铜板/铜箔/树脂,AI服务器和交换机,AI服务器高速PCB价值量提升,原材料波动和客户认证周期,78
深南电路,002916.SZ,A股,AI基础设施,PCB,Electronic,PCB/封装基板,A,PCB/封装基板/电子装联,AI服务器与通信PCB,高端PCB与封装基板平台型厂商,通信设备/服务器客户,覆铜板/铜箔/树脂,AI服务器/交换机/通信设备,AI服务器与交换机推动高多层PCB需求,资本开支和下游订单波动,76
胜宏科技,300476.SZ,A股,AI基础设施,PCB,Electronic,高速PCB,A,高速PCB,AI服务器与高多层板,AI服务器PCB受益标的,服务器和通信设备客户,覆铜板/铜箔/树脂,AI服务器和高多层板,AI服务器和高阶PCB需求提升,产能爬坡和价格竞争,73
生益电子,688183.SH,A股,AI基础设施,PCB,Electronic,PCB,B,PCB,AI服务器PCB,高速通信与AI服务器PCB供应商,通信设备和服务器客户,覆铜板/铜箔/树脂,通信设备和AI服务器,高速通信与AI服务器PCB需求增长,需求波动和盈利弹性不确定,70
生益科技,600183.SH,A股,AI基础设施,CCL,Electronic,CCL,A,覆铜板/电子材料,高速高频材料与AI服务器需求,国内覆铜板龙头，AI高速PCB上游材料核心供应商,PCB厂商,铜箔/玻纤布/树脂,AI服务器PCB/通信PCB,高速高频材料升级提升单机价值量,原材料波动和周期价格压力,78
华正新材,603186.SH,A股,AI基础设施,CCL,Electronic,CCL,B,覆铜板/复合材料,高速材料国产替代,高速PCB材料参与者,PCB厂商,树脂/玻纤布/铜箔,服务器PCB/通信PCB,高速材料国产替代带来弹性,规模和客户认证不确定,65
英维克,002837.SZ,A股,AI基础设施,液冷,PowerCooling,液冷/温控,A,机房温控/液冷,AI数据中心液冷渗透率,数据中心温控和液冷核心供应商,数据中心/运营商/设备商,压缩机/换热器/泵阀,AI数据中心散热,AI算力密度提升推动液冷需求,液冷节奏和竞争格局变化,78
高澜股份,300499.SZ,A股,AI基础设施,液冷,PowerCooling,液冷,B,液冷/热管理,数据中心与电力电子液冷,热管理与液冷方案供应商,数据中心/电力电子客户,泵阀/换热器/冷板,数据中心液冷/储能/电力电子,液冷渗透率提升带来弹性,客户拓展和盈利能力不确定,62
工业富联,601138.SH,A股,AI基础设施,服务器ODM,Manufacturing,服务器ODM,A,AI服务器/云计算设备,AI服务器出货与海外云厂订单,全球服务器ODM与AI服务器制造龙头,北美云厂商/品牌客户,GPU/CPU/电源/PCB,AI服务器与数据中心,AI服务器订单放量带动收入和利润,客户集中和制造利润率压力,82
长飞光纤,601869.SH,A股,AI基础设施,光纤光缆,Optical,光纤光缆,A,光纤光缆/光棒,数据中心与通信网络光连接,光纤光缆龙头，受益AI网络和通信建设,运营商/数据中心客户,光棒/预制棒/材料,通信网络/数据中心连接,AI数据中心和通信网络建设提升光纤需求,传统光纤周期和价格压力,70
亨通光电,600487.SH,A股,AI基础设施,光纤光缆,Optical,光纤光缆/海缆,B,光纤光缆/海缆/通信网络,通信网络与数据中心连接,光通信和能源网络综合供应商,运营商/能源客户,光棒/金属材料/设备,通信网络/海缆/数据中心,通信基础设施升级带来需求,业务复杂和周期波动,66
中天科技,600522.SH,A股,AI基础设施,光纤光缆,Optical,光纤光缆/电力通信,B,光纤光缆/海缆/电力通信,通信与能源网络建设,通信和能源基础设施供应商,运营商/电网/能源客户,光棒/金属材料,通信网络/电力通信,通信网络与能源互联建设需求,海缆和通信周期波动,65
瑞可达,688800.SH,A股,AI基础设施,连接器,Electronic,高速连接器,B,高速连接器/电连接器,AI服务器高速连接,连接器供应商，受益高速互连升级,服务器/新能源/通信客户,金属件/塑胶/精密加工,AI服务器/通信设备,AI服务器高速互连提升连接器需求,客户导入和价格竞争,66
鼎通科技,688668.SH,A股,AI基础设施,连接器,Electronic,通信连接器,B,通讯连接器/精密组件,高速连接和通信设备需求,通信连接器和精密结构件供应商,通信设备/服务器客户,金属材料/精密模具,通信设备/服务器,高速通信设备需求提升连接器价值量,客户集中和需求波动,62
欧陆通,300870.SZ,A股,AI基础设施,电源,PowerCooling,服务器电源,B,服务器电源/适配器,AI服务器电源需求,电源供应商，关注AI服务器高功率电源机会,服务器/网络设备客户,功率器件/磁性元件,AI服务器/通信设备,AI服务器功耗提升带动电源升级,认证周期和毛利率压力,63
麦格米特,002851.SZ,A股,AI基础设施,电源,PowerCooling,服务器电源/功率电子,B,电源/电控/功率电子,服务器电源与功率电子,功率电子平台型公司,服务器/工控/新能源客户,功率器件/磁性元件,服务器电源/工业电源,高功率电源需求提升业务弹性,业务分散和订单节奏不确定,65
香农芯创,300475.SZ,A股,AI基础设施,存储链,Memory,存储分销,B,存储分销/半导体供应链,存储周期与AI服务器需求,存储产业链弹性观察标的,存储厂商/模组客户,DRAM/NAND,服务器/消费电子/模组,存储上行周期和AI服务器需求带来弹性,分销业务波动和周期反转,60
雅克科技,002409.SZ,A股,AI基础设施,存储链,Memory,半导体材料,B,半导体材料/电子特气,存储材料与先进制程需求,半导体材料平台公司，受益存储和先进制程,存储厂/晶圆厂,化工原料/设备,存储/晶圆制造,存储扩产和材料国产替代带动成长,客户认证和价格压力,70
佰维存储,688525.SH,A股,AI基础设施,存储链,Memory,存储模组,B,存储模组/嵌入式存储,AI终端与存储周期,存储模组与方案供应商,终端品牌/服务器客户,DRAM/NAND颗粒,AI终端/服务器/消费电子,存储周期上行和AI终端需求带来弹性,颗粒价格波动和竞争压力,63
中韩半导体ETF,513310.SH,ETF,ETF映射,ETF映射,ETF,半导体ETF,B,中韩半导体主题ETF,HBM/存储/半导体链映射,用于观察中韩半导体产业链表现,ETF持有人,成分股/基金净值,半导体主题配置,映射HBM与存储链景气度,溢价率和成分股波动,60
通信ETF,515880.SH,ETF,ETF映射,ETF映射,ETF,通信ETF,B,通信主题ETF,光模块/通信设备链映射,用于观察A股通信和光模块板块表现,ETF持有人,成分股/基金净值,通信主题配置,映射光模块和通信网络景气度,溢价率和板块波动,60
NVDA,NVDA,美股,海外锚点,GPU,Compute,GPU,S,AI GPU/加速卡,Blackwell出货与云厂商需求,AI训练与推理算力核心锚点,全球云厂商/企业AI客户,先进制程/CoWoS/HBM,AI训练与推理集群,Blackwell和Rubin推动算力平台升级,供应链约束和估值压力,90
AVGO,AVGO,美股,海外锚点,交换机/ASIC,Network,ASIC/网络芯片,S,网络芯片/ASIC/交换芯片,AI网络与定制ASIC,AI网络与定制芯片关键锚点,大型云厂商/网络设备厂,先进制程/IP/封装,AI网络和定制ASIC,定制ASIC和高速网络芯片需求提升,客户项目周期和并购整合风险,82
ANET,ANET,美股,海外锚点,交换机/ASIC,Network,交换机,S,数据中心交换机,云厂商AI网络升级,AI数据中心网络设备锚点,大型云厂商,交换芯片/光模块/软件系统,AI数据中心网络,AI集群东西向流量带动交换机升级,云厂资本开支波动和竞争加剧,78
MRVL,MRVL,美股,海外锚点,交换机/ASIC,Network,DSP/定制芯片,S,光互连DSP/定制芯片,AI定制芯片与光互连,AI网络芯片和互连方案锚点,云厂商/通信设备厂,先进制程/SerDes/IP,AI网络和光互连,定制芯片与光互连需求提升,项目落地节奏和库存周期,74
COHR,COHR,美股,海外锚点,光器件,Optical,激光器/光器件,S,激光器/光器件/光通信材料,AI数据中心光器件与激光器,全球光通信上游器件锚点,光模块厂商/数据中心客户,光材料/激光器/精密制造,数据中心光通信,光器件和激光器需求随AI互连升级,周期波动和盈利修复不确定,72
LITE,LITE,美股,海外锚点,光器件,Optical,激光器/光器件,S,激光器/光通信器件,数据中心光器件需求,光通信器件和激光器锚点,光模块厂商/云厂供应链,激光器/光学材料/封装,数据中心光通信,高速光互连拉动光器件需求,电信周期疲弱和竞争压力,70
SK海力士,000660.KS,韩股,海外锚点,HBM,Memory,HBM/DRAM/NAND,S,DRAM/NAND/HBM,HBM4,全球HBM龙头锚点,NVDA/云厂AI供应链,先进制程/封装设备/硅片,AI GPU和服务器,HBM份额领先并受益AI服务器需求,产能扩张和价格周期反转,86
